name;url
Statistics Norway;https://data.ssb.no/api/?lang=en
UK’s Office for National Statistics;https://www.nomisweb.co.uk/api/v01/help
Statistics Sweden;https://www.scb.se/en/About-us/about-the-website-and-terms-of-use/open-data-api/api-for-the-statistical-database/
Statistics Denmark;https://www.dst.dk/en/Statistik/statistikbanken/api
Statistics Greenland;https://bank.stat.gl/pxweb/en/Greenland/
Statistics Finland;https://pxnet2.stat.fi/api1.html
Instituto Galego de Estatística;https://www.ige.eu/web/mostrar_paxina.jsp?paxina=004015&idioma=gl
Central Statistics Office of Ireland;https://www.cso.ie/webserviceclient/
Marche Chamber of Commerce;https://opendata.marche.camcom.it
United Nations Economic Commission for Europe;http://w3.unece.org/PXWeb/en
Eurostat;https://ec.europa.eu/eurostat/web/json-and-unicode-web-services/about-this-service
Statistics Iceland;https://px.hagstofa.is/pxen/pxweb/en/
Statistics Faroe Islands;https://statbank.hagstova.fo/pxweb/en/H2/
Statistics and Research Åland;https://pxweb.asub.ax/PXWeb/pxweb/en/Statistik/
Swedish Board of Agriculture;http://statistik.sjv.se/PXWeb/pxweb/sv/Jordbruksverkets%20statistikdatabas/
Statistical Institute of the Balearic Islands;https://ibestat.caib.es/
Swiss Federal Statistical Office;https://www.pxweb.bfs.admin.ch/pxweb/en/
Croatian Bureau of Statistics;https://www.dzs.hr/default_e.htm
Central Statistical Bureau of Latvia;https://data1.csb.gov.lv/pxweb/en/
Statistical Committee of the Republic of Armenia;http://armstatbank.am/pxweb/en/ArmStatBank/
State Statistical Office of the Republic of Macedonia;http://www.stat.gov.mk/OtvoreniPodatociApi_en.aspx
Basque Institute of Statistics;http://en.eustat.eus/bancopx/english/indice.html
Cantabrian Institute of Statistics;https://www.icane.es
National Statistical Institute of Spain;https://www.ine.es/dyngs/DataLab/en/manual.html?cid=1259945948443
National Statistical Institute of Bulgaria;http://www.nsi.bg/opendata/
Republic of Slovenia Statistical Office;https://www.stat.si/StatWeb/en
Bank of Portugal;https://bpstat.bportugal.pt/data/docs
Finnish Institute for Health and Welfare;https://thl.fi/en/web/thlfi-en/statistics/statistical-databases/open-data
World Bank;https://datahelpdesk.worldbank.org/knowledgebase/articles/1886674-new-features-and-enhancements-in-the-v2-api
Statistical Institute of Catalonia;https://www.idescat.cat/?lang=en
Official Statistics of Japan;https://dashboard.e-stat.go.jp/en/static/api
National Forest Inventory of Switzerland;https://www.lfi.ch/index-en.php
