name;url
Statistics Sweden, SCB;https://www.statistikdatabasen.scb.se/
CSN (swedish only);https://statistik.csn.se/PXWeb/pxweb/sv/CSNstat/?rxid=1874bc3e-fef6-4c7e-b506-115ca290535c
The Swedish Board of Agriculture (swedish only);https://statistik.sjv.se/PXWeb/pxweb/sv/Jordbruksverkets%20statistikdatabas/?rxid=5adf4929-f548-4f27-9bc9-78e127837625
Karlstads kommun (swedish only);http://pxweb.karlstad.se/pxweb/sv/Karlstads_kommun/
National Institute of Economic Research (NIER);https://statistik.konj.se/PxWeb/pxweb/en/
Linköpings kommun (swedish only);http://statistik.linkoping.se/
Public health agency of Sweden;http://fohm-app.folkhalsomyndigheten.se/Folkhalsodata/pxweb/en/A_Folkhalsodata/?rxid=ea577f19-dc7a-43ce-a283-91b08c4b3b4a
The Swedish Forest Agency;http://pxweb.skogsstyrelsen.se/pxweb/en/Skogsstyrelsens%20statistikdatabas/?rxid=03eb67a3-87d7-486d-acce-92fc8082735d
Sundsvalls kommun (swedish only);https://m02-http-pxwebb.login.sundsvall.se/PXWeb_Ext/pxweb/sv/?rxid=5baf5a92-8c74-432f-95bd-494ecb81dd12
Swedish Energy Agency;https://pxexternal.energimyndigheten.se/pxweb/en/
Swedish University of Agricultural Sciences (SLU), Riksskogstaxeringen;https://skogsstatistik.slu.se/pxweb/en/
Västerås stad (swedish only);https://statistik.vasteras.se/pxweb/sv/?rxid=4f9f3cbb-cb23-4394-8b40-b852b75a43c3
Västra Götalandsregionen (swedish only);http://www.vgregion.se/statistikdatabas
Örebro kommun (swedish only);https://www.orebro.se/fordjupning/fordjupning/fakta-statistik-priser--utmarkelser/statistik/orebro-kommuns-statistikdatabas.html
Statistics Finland;https://statfin.stat.fi/PxWeb/pxweb/en/StatFin/
Statistics Faroe Islands;https://statbank.hagstova.fo/pxweb/en/H2/
Statistics Greenland ;http://bank.stat.gl
Statistics Iceland;https://px.hagstofa.is/pxen/
Statistics Norway;http://www.ssb.no/en/statbank/
Statistics and Research Åland (ÅSUB);https://www.gso.gov.vn/en/statistical-data/
Nordic Statistics Database ;https://www.nordicstatistics.org/
Nordstat (nordic cities);https://stat.hel.fi/pxweb/en/Nordstat/
Nordic Health and Welfare Statistics;https://pxweb.nhwstat.org/Prod/pxweb/en/NHWSTAT/
Tela (the Finnish Pension Alliance);https://tilastot.tela.fi/pxweb/en/Tela/
Croatian Bureau of Statistics;https://web.dzs.hr/PXWeb/Default.aspx?px_language=en&px_db=Stanovni%c5%a1tvo&rxid=9a4be997-6c13-401c-bbb4-fa5560389036
Eustat, Basque;https://en.eustat.eus/banku/indexArbol.html
The Institute of Statistics, Albania (INSTAT) (SQL-databas);http://databaza.instat.gov.al/pxweb/en/DST/?rxid=7a8372e7-8b5e-49b9-b825-69be98a50364
Republic of Cyprus, Statistical Service;https://cystatdb.cystat.gov.cy/pxweb/en/8.CYSTAT-DB/
Stational Committee of the Republic of Armenia;http://www.armstatbank.am/pxweb/en/?rxid=4afb8d17-cc2b-4593-9072-41954c2c40ac
State Statistical Office of the Republic of Macedonia;http://makstat.stat.gov.mk/PXWeb/pxweb/en/MakStat/?rxid=46ee0f64-2992-4b45-a2d9-cb4e5f7ec5ef
Statistics Estonia;https://andmed.stat.ee/en/stat
Kosovo agency of statistics;https://askdata.rks-gov.net/pxweb/en/ASKdata/
Statistics Latvia;https://data.stat.gov.lv/pxweb/en/OSP_PUB/
Statistics Liechtenstein;https://etab.llv.li/PXWeb/pxweb/en/eTab/?rxid=a4cb8296-58ac-4452-821a-0c587794da64
Statistical Office of the Republic of Slovenia;https://pxweb.stat.si/SiStatData/pxweb/en/Data/
Statistics Switzerland;https://www.pxweb.bfs.admin.ch/pxweb/en/
Judicial statistics, Spain;https://www6.poderjudicial.es/PXWeb2021v1en/pxweb/en/
State Statistical office, Republic of North Macedonia (MAKSTAT);https://makstat.stat.gov.mk/PXWeb/pxweb/en/MakStat/
INSTAT, Mali;http://pxweb.instat-mali.com/PXWeb/pxweb/fr/BaseDeDonnees/
Jordan;https://jorinfo.dos.gov.jo/Databank/pxweb/ar/
GSO, Vietnam;https://www.gso.gov.vn/en/statistical-data/
Philippine Statistical Authority (PSA);https://openstat.psa.gov.ph/Database
Ghana;https://statsbank.statsghana.gov.gh/index.html
UNECE;https://w3.unece.org/PXWeb/en/Pivot/
Grande Région database;https://www.grande-region.lu/portal/donnees
Denmark statistics;https://www.statbank.dk/statbank5a/default.asp?w=1280
Statistics New Zeeland ;http://www.stats.govt.nz/infoshare/
