name;url
Australian Bureau of Statistics (ABS);https://www.abs.gov.au/about/data-services/explore/data-explorer
Ministerio del Trabajo y Previsiòn Social SIMEL Chile;https://de.ine.gob.cl/
National Statistical Institute of Cambodia;http://camstat.nis.gov.kh/
Ministry of Labour and Social Welfare of El Salvador (MTPS);https://datasimel.mtps.gob.sv/
Food and Agriculture Organization of the United Nations (FAO);https://de-public-statsuite.fao.org/
Federal Competitiveness and Statistics Centre (FCSC);https://uaestat.fcsc.gov.ae/en
International Labor Organization (ILO);https://data.ilo.org/
Labour Market Information Systems (LMIS);https://ilostat.ilo.org/resources/labour-market-information-systems/
Luxembourg Statistics Portal powered by STATEC;https://lustat.statec.lu/
Maldives Bureau of Statistics;https://data.statisticsmaldives.gov.mv/
Gateway to Malta’s official statistics;https://statdb.nso.gov.mt/
Thai National Statistics Office (TNSO);https://stathub.nso.go.th/
Pacific Community;https://stats.pacificdata.org/#/
UNICEF;https://data.unicef.org/dv_index/
UNESCAP;https://dataexplorer.unescap.org/
United Nations Inter-agency Group;https://childmortality.org/
Sistema de Información del Mercado Laboral (SIMEL) en Uruguay;https://de-mtss.simel.mtss.gub.uy/
Canadian Centre for Energy Information (CCEI) data portal;https://de-ccei.statcan.gc.ca/
Hellenic Statistical Authority (ELSTAT);https://explore.statistics.gr/
