"agencyId","name","scale","country","builder","compliant"
"BIS","Bank for International Settlements","international",NA,"SDMXREST21RequestBuilder","TRUE"
"ECB","European Central Bank","international",NA,"SDMXREST21RequestBuilder","TRUE"
"ESTAT","Eurostat (Statistical office of the European Union)","international",NA,"SDMXREST21RequestBuilder","TRUE"
"IMF","International Monetary Fund","international",NA,"SDMXREST21RequestBuilder","TRUE"
"OECD","Organisation for Economic Cooperation and Development ","international",NA,"SDMXDotStatRequestBuilder","FALSE"
"UNICEF","United Nations International Children's Emergency Fund","international",NA,"SDMXREST21RequestBuilder","TRUE"
"UNSD","United Nations Statistics Division","international",NA,"SDMXREST21RequestBuilder","TRUE"
"ILO","International Labour Organization of the United Nations","international",NA,"SDMXREST21RequestBuilder","TRUE"
"World Bank","World Bank","international",NA,"SDMXREST21RequestBuilder","TRUE"
"PDH","Pacific Data Hub DotStat","international",NA,"SDMXREST21RequestBuilder","FALSE"
"ABS","Australian Bureau of Statistics","national","AUS","SDMXREST21RequestBuilder","TRUE"
"NBB","National Bank of Belgium","national","BEL","SDMXDotStatRequestBuilder","FALSE"
"INSEE","Institut national de la statistique et des études économiques","national","FRA","SDMXREST21RequestBuilder","TRUE"
"INEGI","Instituto Nacional de Estadística y Geografía (Méjico)","national","MEX","SDMXREST21RequestBuilder","FALSE"
"ISTAT","Istituto nazionale di statistica (Italia)","national","ITA","SDMXREST21RequestBuilder","TRUE"
"NOMIS","NOMIS - UK Official Labour Market Statistics","national","UK","SDMXRequestBuilder","FALSE"
"LSD","Statistics Lithuania","national","LTU","SDMXREST21RequestBuilder","TRUE"
"NCSI","Sultanate of Oman - National Center for Statistics & Information","national","OMN","SDMXRequestBuilder","FALSE"
"STAT_EE","Statistics Estonia database","national","EST","SDMXDotStatRequestBuilder","FALSE"
"BKK","Bundesbank","national","DEU","SDMXRequestBuilder","FALSE"
